"","V1","V2"
"89","TNIP1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"90","NAMPT","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"91","FOSL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"92","PNRC1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"93","ID2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"94","CD69","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"95","IL7R","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"96","EFNA1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"97","PHLDA2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"98","PFKFB3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"99","CCL5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"100","YRDC","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"101","IFNGR2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"102","SQSTM1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"103","BTG3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"104","GADD45B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"105","KYNU","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"106","G0S2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"107","BTG1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"108","MCL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"109","VEGFA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"110","MAP2K3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"111","CDKN1A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"112","CCN1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"113","TANK","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"114","IFIT2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"115","IL18","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"116","TUBB2A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"117","IRF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"118","FOS","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"119","OLR1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"120","RHOB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"121","AREG","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"122","NINJ1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"123","ZBTB10","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"124","PLPP3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"125","KLF4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"126","CXCL11","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"127","SAT1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"128","CSF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"129","GPR183","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"130","PMEPA1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"131","PTPRE","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"132","TLR2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"133","ACKR3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"134","KLF10","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"135","MARCKS","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"136","LAMB3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"137","CEBPB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"138","TRIP10","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"139","F2RL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"140","KLF9","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"141","LDLR","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"142","TGIF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"143","RNF19B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"144","DRAM1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"145","B4GALT1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"146","DNAJB4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
