a	s	folder	dir	p	co_wes	note
A05647	T6479638D	R19009723LU01	Project_s440e26062_2Samples_20190314	P010564701		
A05649	N6493713	R18063751LU01	Project_s440e03498_45samples_181031	P0105649		
A05649	T6492692	R18063752LU01	Project_s440e03498_45samples_181031	P0105649		
A05653	N6532913	R18064297LU01	Project_s440e03503_61Samples_181105	P0105653		
A05653	T6532052	R18064298LU01	Project_s440e03503_61Samples_181105	P0105653		
A05653	T6532812-TR	R18064933LU01	Project_s440e03507_3Samples_181107	P2305653		
A05654	N6544223	R18064318LU01	Project_s440e03503_61Samples_181105	P0105654		
A05654	T6545502	R18064319LU01	Project_s440e03503_61Samples_181105	P0105654		
A05657	N6573563	R18064295LU01	Project_s440e03503_61Samples_181105	P0105657		
A05657	T6571751	R18064296LU01	Project_s440e03503_61Samples_181105	P0105657		
A05658	N6582783	R18063741LU01	Project_s440e03498_45samples_181031	P0105658		
A05658	T6588212	R18063742LU01	Project_s440e03498_45samples_181031	P0105658		
A05659	N6591043	R18063743LU01	Project_s440e03498_45samples_181031	P0105659		
A05659	T6592832	R18063744LU01	Project_s440e03498_45samples_181031	P0105659		
A05660	N6604133	R18063749LU01	Project_s440e03498_45samples_181031	P0105660		
A05660	T6606691	R18063750LU01	Project_s440e03499_3Samles_181031	P0105660		
A05661	N6614113	R18064311LU01	Project_s440e03503_61Samples_181105	P0105661		
A05661	T6617678	R18064312LU01	Project_s440e03503_61Samples_181105	P0105661		
A05663	N6634643	R18064301LU01	Project_s440e03503_61Samples_181105	P0105663		
A05663	T6637522	R18064302LU01	Project_s440e03503_61Samples_181105	P0105663		
A05664	N6643923	R18064305LU01	Project_s440e03503_61Samples_181105	P0105664		
A05664	T6645031	R18064306LU01	Project_s440e03503_61Samples_181105	P0105664		
A05669	N6693153	R18064352LU01	Project_s440e03503_61Samples_181105	P0105669		
A05669	T6692512	R18064353LU01	Project_s440e03503_61Samples_181105	P0105669		
A05670	T6702711-TR	R18064315LU01	Project_s440e03500_8Samples_181105	P2305670		
A05672	N6727463	R18065288LU01	Project_s440e03511_46Samples_181112	P0105672B		
A05672	T6724811	R18065289LU01	Project_s440e03511_46Samples_181112	P0105672B		
A05674	N6748803	R18063753LU01	Project_s440e03498_45samples_181031	P0105674		
A05674	T6743711	R18063754LU01	Project_s440e03499_3Samles_181031	P0105674		
A05674	T6744021-TR	R18064292LU01	Project_s440e03500_8Samples_181105	P2305674		
A05675	N6757243	R18064293LU01	Project_s440e03503_61Samples_181105	P0105675		
A05675	T6759628	R18064294LU01	Project_s440e03503_61Samples_181105	P0105675		
A05677	C6779643	R18066659LU01	Project_s440e03517_2samples_181120	P2705677		
A05677	N6771893	R18066660LU01	Project_s440e03518_29Samples_181120	P2705677		
A05679	N6791313	R18064320LU01	Project_s440e03503_61Samples_181105	P0105679		
A05679	T6791868-TR	R18064322LU01	Project_s440e03500_8Samples_181105	P2305679		
A05679	T6793318	R18064321LU01	Project_s440e03503_61Samples_181105	P0105679		
A05681	N6817053	R18063757LU01	Project_s440e03498_45samples_181031	P0105681		
A05681	T6819116	R18063758LU01	Project_s440e03498_45samples_181031	P0105681		
A05682	N6822383	R18064303LU01	Project_s440e03503_61Samples_181105	P0105682		
A05682	T6825171-TR	R18065303LU01	Project_s440e03509_2Samples_181112	P2305682B		
A05682	T6826452	R18064304LU01	Project_s440e03503_61Samples_181105	P0105682		
A05683	N6834163	R18064358LU01	Project_s440e03503_61Samples_181105	P0105683		
A05683	T6838372	R18064359LU01	Project_s440e03503_61Samples_181105	P0105683		
A05684	N6841663	R18064360LU01	Project_s440e03503_61Samples_181105	P0105684		
A05684	T6845391	R18064361LU01	Project_s440e03503_61Samples_181105	P0105684		
A05685	N6853003	R18063755LU01	Project_s440e03498_45samples_181031	P0105685		
A05685	T6858751	R18063756LU01	Project_s440e03498_45samples_181031	P0105685		
A05686	N6866393	R18064350LU01	Project_s440e03503_61Samples_181105	P0105686		
A05686	T6867341	R18064351LU01	Project_s440e03503_61Samples_181105	P0105686		
A05688	N6885883	R18064307LU01	Project_s440e03503_61Samples_181105	P0105688		
A05688	T6882978	R18064308LU01	Project_s440e03501_4Samples_181105	P0105688		
A05688	T6884838-TR	R18064895LU01	Project_s440e03507_3Samples_181107	P2305688		
