"","V1","V2"
"209","MBOAT2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"210","MBOAT7","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"211","CHAT","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"212","LPCAT1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"213","PTDSS1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"214","ACHE","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"215","PLA2G3","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"216","DGKZ","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"217","ETNK1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"218","DGKE","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"219","DGKD","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"220","PCYT1A","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"221","DGKH","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"222","JMJD7-PLA2G4B","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"223","CHPT1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"224","MBOAT1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"225","PLA2G6","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"226","PLA2G2E","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"227","PLA2G10","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"228","LPCAT3","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"229","PLA2G2A","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"230","ETNK2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"231","PLA2G4A","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"232","PLA2G5","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"233","PLA2G12B","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"234","PLA2G4B","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"235","PTDSS2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
