"","V1","V2"
"406","DLC1","Type 2 T helper cell"
"407","DNAJC12","Type 2 T helper cell"
"408","DUSP6","Type 2 T helper cell"
"409","GNAI1","Type 2 T helper cell"
"410","LAMP3","Type 2 T helper cell"
"411","NRP2","Type 2 T helper cell"
"412","OSBPL1A","Type 2 T helper cell"
"413","PDE4B","Type 2 T helper cell"
"414","PHLDA1","Type 2 T helper cell"
"415","PLA2G4A","Type 2 T helper cell"
"416","RAB27B","Type 2 T helper cell"
"417","RBMS3","Type 2 T helper cell"
"418","RNF125","Type 2 T helper cell"
"419","TMPRSS3","Type 2 T helper cell"
"420","GATA3","Type 2 T helper cell"
"421","BIRC5","Type 2 T helper cell"
"422","CDC25C","Type 2 T helper cell"
"423","CDC7","Type 2 T helper cell"
"424","CENPF","Type 2 T helper cell"
"425","CXCR6","Type 2 T helper cell"
"426","DHFR","Type 2 T helper cell"
"427","EVI5","Type 2 T helper cell"
"428","GSTA4","Type 2 T helper cell"
"429","HELLS","Type 2 T helper cell"
"430","IL26","Type 2 T helper cell"
"431","LAIR2","Type 2 T helper cell"
"432","ABCD1","Activated dendritic cell"
"433","C1QC","Activated dendritic cell"
"434","CAPG","Activated dendritic cell"
"435","CCL3L3","Activated dendritic cell"
"436","CD207","Activated dendritic cell"
"437","CD302","Activated dendritic cell"
"438","ATP5B","Activated dendritic cell"
"439","ATP5L","Activated dendritic cell"
"440","ATP6V1A","Activated dendritic cell"
"441","BCL2L1","Activated dendritic cell"
"442","C1QB","Activated dendritic cell"
"443","SNURF","Activated dendritic cell"
"444","SPCS3","Activated dendritic cell"
"445","CCNA1","Activated dendritic cell"
"446","CEACAM8","Activated dendritic cell"
"447","NOS2","Activated dendritic cell"
"448","SRA1","Activated dendritic cell"
"449","TNFRSF6B","Activated dendritic cell"
"450","TREM1","Activated dendritic cell"
"451","TREML1","Activated dendritic cell"
"452","RHOA","Activated dendritic cell"
"453","SLC25A37","Activated dendritic cell"
"454","TNFSF14","Activated dendritic cell"
"455","TREML4","Activated dendritic cell"
"456","VNN2","Activated dendritic cell"
"457","XPO6","Activated dendritic cell"
"458","CLEC4C","Activated dendritic cell"
"459","TNFAIP2","Activated dendritic cell"
"460","UBD","Activated dendritic cell"
"461","ACTR3","Activated dendritic cell"
"462","RAB1A","Activated dendritic cell"
"463","SLA","Activated dendritic cell"
"464","HLA-DQA2","Activated dendritic cell"
"465","SIGLEC5","Activated dendritic cell"
"466","SLAMF9","Activated dendritic cell"
"467","ABAT","CD56bright natural killer cell"
"468","C11orf75","CD56bright natural killer cell"
"469","C5orf15","CD56bright natural killer cell"
"470","CDHR1","CD56bright natural killer cell"
"471","DCAF12","CD56bright natural killer cell"
"472","DYNLL1","CD56bright natural killer cell"
"473","GPR137B","CD56bright natural killer cell"
"474","HCP5","CD56bright natural killer cell"
"475","HDGFL2","CD56bright natural killer cell"
"476","KRT86","CD56bright natural killer cell"
"477","MLST8","CD56bright natural killer cell"
"478","ELMOD3","CD56bright natural killer cell"
"479","ENTPD5","CD56bright natural killer cell"
"480","FAM119A","CD56bright natural killer cell"
"481","FAM179A","CD56bright natural killer cell"
"482","CLIC2","CD56bright natural killer cell"
"483","COX7A2L","CD56bright natural killer cell"
"484","CREB3L4","CD56bright natural killer cell"
"485","CSF1","CD56bright natural killer cell"
"486","CSNK2A2","CD56bright natural killer cell"
"487","CSTA","CD56bright natural killer cell"
"488","CSTB","CD56bright natural killer cell"
"489","CTPS","CD56bright natural killer cell"
"490","CTSD","CD56bright natural killer cell"
"491","FST","CD56bright natural killer cell"
"492","GATA2","CD56bright natural killer cell"
"493","GMPR","CD56bright natural killer cell"
"494","HDC","CD56bright natural killer cell"
"495","HEY1","CD56bright natural killer cell"
"496","HOXA1","CD56bright natural killer cell"
"497","HS2ST1","CD56bright natural killer cell"
"498","HS3ST1","CD56bright natural killer cell"
"499","BCL11B","CD56bright natural killer cell"
"500","CDH3","CD56bright natural killer cell"
"501","MYL6B","CD56bright natural killer cell"
"502","NAA16","CD56bright natural killer cell"
"503","C1QA","CD56bright natural killer cell"
"504","C1QB","CD56bright natural killer cell"
"505","CYP27B1","CD56bright natural killer cell"
"506","EIF3M","CD56bright natural killer cell"
"507","CYP27A1","CD56dim natural killer cell"
"508","DDX55","CD56dim natural killer cell"
"509","DYRK2","CD56dim natural killer cell"
"510","RPL37A","CD56dim natural killer cell"
"511","NOTCH3","CD56dim natural killer cell"
"512","AKR7A3","CD56dim natural killer cell"
"513","GPRC5C","CD56dim natural killer cell"
"514","GRIN1","CD56dim natural killer cell"
"515","HLA-E","CD56dim natural killer cell"
"516","PORCN","CD56dim natural killer cell"
"517","PSMC4","CD56dim natural killer cell"
"518","UPP1","CD56dim natural killer cell"
"519","IL21R","CD56dim natural killer cell"
"520","KIR2DS1","CD56dim natural killer cell"
"521","KIR2DS2","CD56dim natural killer cell"
"522","KIR2DS5","CD56dim natural killer cell"
"523","GIPR","Eosinophil"
"524","KRT18P50","Eosinophil"
"525","LRMP","Eosinophil"
"526","FOSB","Eosinophil"
"527","RRP12","Eosinophil"
"528","GPR183","Eosinophil"
"529","NR4A3","Eosinophil"
"530","ST3GAL6","Eosinophil"
"531","DEPDC5","Eosinophil"
"532","PDE6C","Eosinophil"
"533","PKD2L2","Eosinophil"
"534","GPR65","Eosinophil"
"535","IL5RA","Eosinophil"
"536","P2RY14","Eosinophil"
"537","DACH1","Eosinophil"
"538","DAPK2","Eosinophil"
"539","EMR3","Eosinophil"
"540","ACADM","Immature dendritic cell"
"541","AHCYL1","Immature dendritic cell"
"542","ALDH1A2","Immature dendritic cell"
"543","ALDH3A2","Immature dendritic cell"
"544","ALDH9A1","Immature dendritic cell"
"545","ALOX15","Immature dendritic cell"
"546","AMT","Immature dendritic cell"
"547","ARL1","Immature dendritic cell"
